id_respuesta,Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Cuál es su título en la empresa?,¿Se considera usted fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingeniería?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,¿En qué otros lenguajes de programación ocupa su tiempo laboral?,Tipo de relación laboral,Su modo de trabajo es: (ignorando el cambio por covid-19),Usted prefiere:,¿Tiene titulo universitario o técnico?,¿Estudió alguna carrera de PRE-grado relacionada a ingeniería de sistemas?,¿Estudió alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿Ha estudiado en algún bootcamp de programación?,"¿Si ha estudiado en un bootcamp de programación, en cuál? (ingrese el url del bootcamp)",¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,"¿Usando la moneda de la respuesta anterior, cuánto es su remuneración ANUAL base?  eg 36,000,000 si es pesos o 3,600 si es dólares",¿Cuánto es su remuneración ANUAL adicional (usando la moneda que respondio anteriormente)?,¿Cuánto era la remuneración base ANUAL de su trabajo/rol anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,¿Tiene acciones (opciones/stock options/rsus) o dividendos de su empresa como parte de su compensación?,"¿Si tiene acciones, cuántas tiene en total?","¿Si tiene acciones, cuál es el precio de emisión por acción en USD? (use $3,750 como tasa de cambio si es necesario)",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿En qué sitio web busca oportunidades laborales principalmente?,¿En que ciudad de Colombia vive?,¿Cuál es su país de procedencia?,¿En qué año nació?,¿Cuantos hijos tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantas horas trabaja por semana?,titulo_en_empresa_v2,tipo_relacion_laboral_v2,url_bootcamp_v2,precio_emision_accion_v2,acciones_total_v2,ingresos_freelance_ultimo_anio_v2,sitio_buscar_trabajo_v2,ciudad_v2,pais_v2,anio_nacimiento_v2,horas_trabajo_semana_v2,remuneracion_anual_v2,remuneracion_mensual_usd
524,6/30/2020 10:50:48,empresa Colombiana con mercado Colombiano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",más de 10,Analista de desarrollo,no,80 - 90%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,2+ años,10 - 15 años,TypeScript,"JavaScript, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,50000000,4000000,1500000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,medellin,Colombia,1993,0,él (tradicionalmente se identifica como hombre),no,48,Analista,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[26-30],[40-49],13333,1111
525,6/30/2020 10:51:28,empresa Colombiana con mercado global,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",menos de 1,Desarrolladora de software Frontend,no,50 - 60%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,JavaScript,Visual Basic .NET,Prestación de servicios,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,técnico,no,no,no,"técnico, tecnología, bachiller técnico",Sí,https://makaia.org/es/academiageek/,básico (puede leer documentación y código en inglés),pesos,18000000,0,30000000,yo,yo,no,NULL,NULL,no,0,si,NULL,https://en.wikipedia.org/wiki/List_of_cities_in_Colombia#List,Colombia,1994,0,ella (tradicionalmente se identifica como mujer),no,55,Frontend Developer,Prestación de servicios,https://makaia.org/es/academiageek/,NULL,NULL,[0-1000],NULL,Bogotá,Colombia,[26-30],[50-59],4800,400
526,6/30/2020 10:54:22,soy independiente (freelance),"servicio no tecnológico (banca, seguros, contabilidad, etc)",soy independiente,Ingeniero de desarrollo,no,80 - 90%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,PHP,"JavaScript, Python",Contrato de prestación de servicios,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,si,si,maestria,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,60000000,0,39600000,yo,yo,no,NULL,NULL,soy independiente,0,si,http://linkedin.com,Medellín,Colombia,1985,0,él (tradicionalmente se identifica como hombre),no,30,Software Engineer,Prestación de servicios,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[31-35],[30-39],16000,1333
527,6/30/2020 10:55:30,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,ingeniero junior,no,50 - 60%,0 - 10%,0 - 10%,0 - 10%,2+ años,2+ años,C#,C#,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,universitario,si,si,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,24000000,2000000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Manizales,Colombia,1982,2,él (tradicionalmente se identifica como hombre),no,60,ingeniero junior,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Manizales,Colombia,[36-40],[>60],6400,533
528,6/30/2020 10:58:43,empresa extranjera,otro,más de 10,Software Engineer,no,60 - 70%,0 - 10%,20 - 30%,0 - 10%,10 - 15 años,10 - 15 años,Java,"JavaScript, Shell",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo remoto,universitario,si,soy estudiante de post-grado relacionado a ing de sistemas,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,124600000,6000000,189000000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,NULL,Bogotá,Colombia,1985,0,él (tradicionalmente se identifica como hombre),no,45,Software Engineer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Bogotá,Colombia,[31-35],[40-49],33226,2768
529,6/30/2020 10:59:19,empresa Colombiana con mercado Colombiano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,Líder de desarrollo,si,40 - 50%,40 - 50%,20 - 30%,10 - 20%,2+ años,2+ años,TypeScript,Java,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,"técnico, tecnología, bachiller técnico",No,NULL,básico (puede leer documentación y código en inglés),pesos,21600000,0,0,mi empleador,mi empleador,no,NULL,NULL,si,0,si,NULL,Manizales,Colombia,1995,0,ella (tradicionalmente se identifica como mujer),no,44,Lead,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Manizales,Colombia,[21-25],[40-49],5760,480
530,6/30/2020 11:01:14,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,na,no,50 - 60%,10 - 20%,20 - 30%,0 - 10%,5 - 10 años,5 - 10 años,Java,JavaScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,ningúno,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,84000,26400,60000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,https://www.linkedin.com/,Medellin,Colombia,1987,0,él (tradicionalmente se identifica como hombre),no,45,na,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[31-35],[40-49],84000,7000
531,6/30/2020 11:01:14,empresa Colombiana con mercado latinoamericano,consultoría y servicios de desarrollo de software a la medida,más de 10,Científico de datos,no,60 - 70%,10 - 20%,10 - 20%,no tengo responsabilidades gerenciales,1+ año,2+ años,Python,JavaScript,contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,soy estudiante de post-grado relacionado a ing de sistemas,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,90000000,0,0,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Bogotá,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,40,Científico de datos,término fijo,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[26-30],[40-49],24000,2000
532,6/30/2020 11:03:20,empresa Colombiana con mercado latinoamericano,consultoría y servicios de desarrollo de software a la medida,2 - 5,Desarrollador de software,no,70 - 80%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,JavaScript,"Python, Scala, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,no,bachiller,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,54000000,11700000,3000000,mi empleador,mi empleador,si - dividendos,NULL,NULL,no,0,si,https://linkedin.com,Medellin,Colombia,1997,0,él (tradicionalmente se identifica como hombre),no,45,Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[21-25],[40-49],14400,1200
533,6/30/2020 11:04:18,empresa Colombiana con mercado latinoamericano,consultoría y servicios de desarrollo de software a la medida,2 - 5,Frontend web developer,no,70 - 80%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,1+ año,"ninguno, por que soy manager ?","ninguno,  por que soy manager ?",contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,no,si,no,pregrado,Sí,https://www.globant.com/,básico (puede leer documentación y código en inglés),pesos,18000000,0,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Envigado,Colombia,1992,0,ella (tradicionalmente se identifica como mujer),no,45,Frontend Developer,término fijo,https://www.globant.com/,NULL,NULL,[0-1000],LinkedIn.com,Envigado,Colombia,[26-30],[40-49],4800,400
534,6/30/2020 11:06:29,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,2 - 5,Ingeniero de Desarrollo,no,80 - 90%,0 - 10%,no tengo responsabilidades de liderazgo técnico,0 - 10%,menos de 1 año,1+ año,JavaScript,"ninguno,  por que soy manager ?",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,No,NULL,básico (puede leer documentación y código en inglés),pesos,21060000,0,0,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Medellín,Colombia,1998,0,ella (tradicionalmente se identifica como mujer),no,25,Software Engineer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[21-25],[20-29],5616,468
535,6/30/2020 11:07:36,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Web UI Developer,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,10 - 15 años,JavaScript,"JavaScript, PHP, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,si,si,maestria,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,60000000,0,48000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,https://linkedin.com,Bogotá,Colombia,1988,0,él (tradicionalmente se identifica como hombre),no,40,Web Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[31-35],[40-49],16000,1333
536,6/30/2020 11:09:27,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,NULL,no,70 - 80%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,3 - 5 años,10 - 15 años,C#,"C, C++, JavaScript, Objective-C, Objective-C++, PHP, Python, Swift",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,si,si,maestria,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,130000000,0,55000000,mi empleador,mi empleador,si - stock options,3000,7,no,0,si,http://linkedin.com,Bogotá,Colombia,1986,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término indefinido,NULL,[0-10],[1k-10k],[0-1000],LinkedIn.com,Bogotá,Colombia,[31-35],[40-49],34666,2888
537,6/30/2020 11:11:32,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",1,Developer,no,60 - 70%,10 - 20%,10 - 20%,0 - 10%,menos de 1 año,5 - 10 años,TypeScript,"Java, JavaScript, Objective-C, Swift, TypeScript",contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,si,si,maestria,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,85000,5000,70000,yo,yo,si - stock options,NULL,NULL,no,0,si,https://news.ycombinator.com/item?id=23379196,Cajicá,Colombia,1987,1,él (tradicionalmente se identifica como hombre),no,40,Developer,Contratista,NULL,NULL,NULL,[0-1000],https://news.ycombinator.com/item?id=23379196,Cajicá,Colombia,[31-35],[40-49],85000,7083
538,6/30/2020 11:11:53,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,1,Backend Developer,no,90 - 100%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,2+ años,TypeScript,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,no,no,no,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,42000000,3500000,0,mi empleador,mi empleador,no,NULL,NULL,si,4000000,no,http://linkedin.com,Medellin,Venezuela,1991,0,él (tradicionalmente se identifica como hombre),no,40,Backend Developer,término indefinido,NULL,NULL,NULL,[1k-10k],LinkedIn.com,Medellín,Venezuela,[26-30],[40-49],11200,933
539,6/30/2020 11:14:22,empresa Colombiana con mercado Colombiano,otro,más de 10,Desarrollador web,no,60 - 70%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,3 - 5 años,3 - 5 años,JavaScript,PHP,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,"técnico, tecnología, bachiller técnico",No,NULL,básico (puede leer documentación y código en inglés),pesos,12000000,0,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Cúcuta,Colombia,1992,0,él (tradicionalmente se identifica como hombre),no,44,Web Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Cúcuta,Colombia,[26-30],[40-49],3200,266
540,6/30/2020 11:15:11,empresa Colombiana con mercado latinoamericano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",5 - 10,iOS Developer,no,90 - 100%,no tengo responsabilidades de este tipo,40 - 50%,no tengo responsabilidades gerenciales,3 - 5 años,3 - 5 años,Swift,Swift,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,66000000,6600000,42000000,mi empleador,mi empleador,no,NULL,NULL,si,10000000,si,http://linkedin.com,Dosquebradas,Colombia,1990,0,él (tradicionalmente se identifica como hombre),no,50,iOS Developer,término indefinido,NULL,NULL,NULL,[1k-10k],LinkedIn.com,Dosquebradas,Colombia,[26-30],[50-59],17600,1466
541,6/30/2020 11:18:38,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Analista programador,no,90 - 100%,10 - 20%,70 - 80%,no tengo responsabilidades gerenciales,5 - 10 años,5 - 10 años,C#,"Java, JavaScript, Visual Basic .NET",contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,Sí,https://coursera.com,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,69000000,5000000,6600000,yo,yo,no,NULL,NULL,si,8000000,no,https://linkedin.com,Bogota,Colombia,1984,1,él (tradicionalmente se identifica como hombre),no,48,Analista,término fijo,coursera.com,NULL,NULL,[1k-10k],LinkedIn.com,Bogotá,Colombia,[36-40],[40-49],18400,1533
542,6/30/2020 11:19:09,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,más de 10,Desarrollador Backend,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,Java,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,30000000,5000000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://twitter.com,Medellín,Colombia,1998,0,él (tradicionalmente se identifica como hombre),no,40,Backend Developer,término indefinido,NULL,NULL,NULL,[0-1000],Twitter.com,Medellín,Colombia,[21-25],[40-49],8000,666
543,6/30/2020 11:20:51,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,2 - 5,Desarollador full stack,no,80 - 90%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,1+ año,1+ año,TypeScript,JavaScript,Prestación servicios.,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,No,NULL,básico (puede leer documentación y código en inglés),pesos,45000000,0,0,yo,yo,no,NULL,NULL,no,0,si,NULL,Medellín,Colombia,1995,0,él (tradicionalmente se identifica como hombre),no,35,FullStack Developer,Prestación de servicios,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[21-25],[30-39],12000,1000
544,6/30/2020 11:23:29,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,desarrador de software,no,50 - 60%,20 - 30%,10 - 20%,no tengo responsabilidades gerenciales,2+ años,2+ años,JavaScript,"Go, Java",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,61000000,63000000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,medellin,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[21-25],[40-49],16266,1355
545,6/30/2020 11:24:10,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Practicante desarrollador python,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,Python,"C, Java, JavaScript",contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,Sí,https://www.holbertonschool.com/co/campus_life/bogota,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,10524000,0,0,yo,no tengo,no,NULL,NULL,si,100000,no,https://neuvoo.es/,Cajica,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,40,Backend Developer,término fijo,holbertonschool.com,NULL,NULL,[0-1000],https://neuvoo.es/,Cajica,Colombia,[21-25],[40-49],2806,233
546,6/30/2020 11:24:48,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Java Developer,no,80 - 90%,10 - 20%,20 - 30%,0 - 10%,menos de 1 año,5 - 10 años,Java,"JavaScript, Kotlin, TypeScript",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,si,si,maestria,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,7000000,84000000,50,mi empleador,mi empleador,no,NULL,NULL,si,6000000,si,https://www.linkedin.com,Cali,Colombia,1990,0,él (tradicionalmente se identifica como hombre),no,48,Backend Developer,término indefinido,NULL,NULL,NULL,[1k-10k],LinkedIn.com,Cali,Colombia,[26-30],[40-49],1866,155
547,6/30/2020 11:24:54,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Gerente de Proyectos,no,20 - 30%,60 - 70%,no tengo responsabilidades de liderazgo técnico,20 - 30%,1+ año,5 - 10 años,"ninguno, por que soy manager ?","ninguno,  por que soy manager ?",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,no,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,132000000,14000000,66000000,mi empleador,mi empleador,si - stock options,NULL,NULL,no,0,si,NULL,Medellín,Colombia,1983,1,él (tradicionalmente se identifica como hombre),no,40,Gerente de Proyectos,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[36-40],[40-49],35200,2933
548,6/30/2020 11:24:59,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Desarrollador móvil semi senior,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,Swift,Solo trabajo en Swift,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,universitario,si,no,si,maestria,Sí,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,136000000,0,60000000,mi empleador,mi empleador,no,0,0,no,0,si,http://linkedin.com,Bogotá,Colombia,1988,0,él (tradicionalmente se identifica como hombre),no,45,Mobile Developer,término indefinido,NULL,[0-10],[0-1000],[0-1000],LinkedIn.com,Bogotá,Colombia,[31-35],[40-49],36266,3022
549,6/30/2020 11:25:57,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Software developer,no,90 - 100%,0 - 10%,20 - 30%,0 - 10%,1+ año,2+ años,JavaScript,TypeScript,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo en oficina,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,36000000,0,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Medellín,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[21-25],[40-49],9600,800
550,6/30/2020 11:27:24,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Android Engineer,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,10 - 15 años,Kotlin,"Dart, Java, JavaScript",contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,66000,0,48069,yo,yo,no,NULL,NULL,si,2000,si,NULL,Medellín,Colombia,1983,0,él (tradicionalmente se identifica como hombre),no,40,Android developer,Contratista,NULL,NULL,NULL,[1k-10k],NULL,Medellín,Colombia,[36-40],[40-49],66000,5500
551,6/30/2020 11:27:29,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Desarrollador de software,no,80 - 90%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,1+ año,2+ años,JavaScript,TypeScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,"técnico, tecnología, bachiller técnico",No,NULL,básico (puede leer documentación y código en inglés),pesos,42000000,0,15600000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Medellín,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[21-25],[40-49],11200,933
552,6/30/2020 11:30:12,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Software Developer,no,70 - 80%,10 - 20%,10 - 20%,0 - 10%,2+ años,3 - 5 años,JavaScript,TypeScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,técnico,no,no,si,"técnico, tecnología, bachiller técnico",No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,50400000,0,18000000,mi empleador,mi empleador,no,NULL,NULL,si,2000,no,http://linkedin.com,Medellin,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[26-30],[40-49],13440,1120
553,6/30/2020 11:31:28,empresa extranjera,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Senior Advance Software Developer,no,60 - 70%,no tengo responsabilidades de este tipo,20 - 30%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Java,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,157200000,157200000,78000000,yo,mi empleador,no,NULL,NULL,no,0,si,NULL,Bogotá,Colombia,1991,0,él (tradicionalmente se identifica como hombre),no,35,Developer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Bogotá,Colombia,[26-30],[30-39],41920,3493
554,6/30/2020 11:33:26,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,senior software developer,no,70 - 80%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,C#,JavaScript,contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,si,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,60000000,0,60000000,yo,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Medellín,Colombia,1988,0,ella (tradicionalmente se identifica como mujer),no,45,Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[31-35],[40-49],16000,1333
